iter	Passed	Remaining
0	165	165323
1	167	83761
2	170	56724
3	174	43431
4	178	35452
5	181	30082
6	183	26059
7	188	23321
8	191	21128
9	195	19322
10	197	17759
11	200	16529
12	204	15563
13	208	14676
14	211	13899
15	215	13223
16	218	12624
17	221	12102
18	224	11612
19	228	11179
20	231	10805
21	235	10446
22	237	10089
23	240	9791
24	244	9518
25	247	9289
26	251	9068
27	254	8849
28	258	8655
29	262	8471
30	265	8299
31	269	8137
32	271	7968
33	275	7825
34	279	7697
35	282	7560
36	285	7430
37	289	7317
38	291	7190
39	295	7088
40	297	6959
41	301	6880
42	305	6793
43	308	6697
44	311	6615
45	315	6551
46	319	6475
47	322	6397
48	325	6326
49	329	6258
50	333	6202
51	336	6140
52	339	6074
53	344	6026
54	347	5973
55	349	5898
56	353	5849
57	357	5800
58	361	5760
59	364	5710
60	367	5661
61	371	5616
62	375	5581
63	378	5535
64	381	5491
65	385	5449
66	388	5411
67	392	5375
68	395	5332
69	398	5297
70	402	5270
71	404	5209
72	407	5176
73	409	5129
74	412	5090
75	416	5062
76	418	5015
77	421	4981
78	425	4965
79	429	4938
80	433	4916
81	437	4901
82	442	4887
83	447	4874
84	450	4848
85	453	4822
86	456	4793
87	460	4771
88	463	4746
89	467	4722
90	470	4699
91	474	4682
92	477	4661
93	481	4640
94	485	4622
95	487	4591
96	491	4572
97	494	4551
98	497	4530
99	500	4508
100	503	4479
101	505	4454
102	509	4433
103	512	4413
104	515	4391
105	518	4375
106	521	4353
107	524	4330
108	525	4297
109	528	4276
110	531	4255
111	534	4236
112	536	4208
113	537	4178
114	540	4158
115	543	4138
116	545	4119
117	550	4111
118	553	4098
119	556	4081
120	559	4064
121	562	4051
122	564	4025
123	567	4009
124	570	3994
125	573	3977
126	576	3964
127	580	3951
128	582	3931
129	584	3914
130	588	3900
131	591	3886
132	594	3875
133	597	3860
134	600	3845
135	603	3831
136	606	3819
137	609	3808
138	611	3788
139	614	3775
140	617	3762
141	620	3746
142	623	3734
143	626	3724
144	628	3707
145	631	3693
146	633	3676
147	636	3665
